,0
0,3DO Interactive Multiplayer
1,Acorn Electron
2,All
3,Amiga
4,Amiga CD32
5,Amstrad CPC
6,Android
7,Apple II
8,Arcade
9,Atari 2600
10,Atari 5200
11,Atari 7800
12,Atari Jaguar
13,Atari Lynx
14,Atari ST
15,BBC Micro
16,Browser
17,CD-i
18,ColecoVision
19,Commodore 128
20,Commodore 64
21,DSi Ware
22,Fairchild Channel F
23,Famicom Disk System
24,FM Towns
25,Game Boy
26,Game Boy Advance
27,Game Boy Color
28,GameCube
29,GameGear
30,Gizmondo
31,HTC Vive
32,Intellivision
33,iOS
34,iQue
35,Linux
36,Mac OS X
37,Magnavox Odyssey
38,Microsoft Windows
39,MS-DOS
40,MSX
41,N-Gage
42,Neo Geo
43,Neo Geo X
44,Nintendo 2DS
45,Nintendo 3DS
46,Nintendo 64
47,Nintendo DS
48,Nintendo DSi
49,Nintendo Entertainment System
50,Nintendo Switch
51,Nvidia Shield
52,Oculus Rift
53,Ouya
54,PC-FX
55,PCE
56,PlayStation
57,PlayStation 2
58,PlayStation 3
59,PlayStation 4
60,PlayStation 5
61,PlayStation Network
62,PlayStation Portable
63,PlayStation Vita
64,Playstation VR
65,Sega 32X
66,Sega CD
67,Sega Dreamcast
68,Sega Genesis
69,Sega Master System
70,Sega Saturn
71,Series
72,Standard Mobile
73,Super Famicom
74,Super Nintendo Entertainment System
75,TurboGrafx-16
76,Unknown
77,Virtual Boy
78,Virtual Console
79,Wii
80,Wii U
81,WiiWare
82,Windows Phone
83,WonderSwan
84,Xbox
85,Xbox 360
86,XBox Live
87,Xbox One
88,Xbox Series
89,ZX Spectrum
